Zipcode,ZipCodeType,City,State,LocationType,Lat,Long,Location,Region,TaxReturnsFiled,EstimatedPopulation,TotalWages
4631,STANDARD,EASTPORT,ME,PRIMARY,44.91,-67.01,NA-US-ME-EASTPORT,Northeast,602,991,"12,686,897.00"
4667,STANDARD,PERRY,ME,PRIMARY,44.97,-67.07,NA-US-ME-PERRY,Northeast,589,"1,078","15,333,343.00"
4652,STANDARD,LUBEC,ME,PRIMARY,44.79,-67.11,NA-US-ME-LUBEC,Northeast,768,"1,284","15,005,449.00"
4666,STANDARD,PEMBROKE,ME,PRIMARY,44.95,-67.16,NA-US-ME-PEMBROKE,Northeast,518,938,"12,104,476.00"
4671,STANDARD,ROBBINSTON,ME,PRIMARY,45.06,-67.16,NA-US-ME-ROBBINSTON,Northeast,,,
4691,STANDARD,WHITING,ME,PRIMARY,44.79,-67.17,NA-US-ME-WHITING,Northeast,,,
4619,STANDARD,CALAIS,ME,PRIMARY,45.13,-67.2,NA-US-ME-CALAIS,Northeast,"1,638","2,726","48,326,554.00"
4626,STANDARD,CUTLER,ME,PRIMARY,44.69,-67.21,NA-US-ME-CUTLER,Northeast,,,
4628,STANDARD,DENNYSVILLE,ME,PRIMARY,44.9,-67.22,NA-US-ME-DENNYSVILLE,Northeast,261,472,"6,159,976.00"
4657,STANDARD,MEDDYBEMPS,ME,PRIMARY,45.03,-67.35,NA-US-ME-MEDDYBEMPS,Northeast,,,
4655,STANDARD,MACHIASPORT,ME,PRIMARY,44.69,-67.39,NA-US-ME-MACHIASPORT,Northeast,412,732,"7,930,900.00"
4630,STANDARD,EAST MACHIAS,ME,PRIMARY,44.73,-67.39,NA-US-ME-EAST MACHIAS,Northeast,715,"1,265","18,677,898.00"
4491,PO BOX,VANCEBORO,ME,PRIMARY,45.56,-67.43,NA-US-ME-VANCEBORO,Northeast,,,
4606,STANDARD,ADDISON,ME,PRIMARY,45.08,-67.46,NA-US-ME-ADDISON,Northeast,517,907,"9,810,043.00"
4694,STANDARD,BAILEYVILLE,ME,PRIMARY,45.09,-67.46,NA-US-ME-BAILEYVILLE,Northeast,"1,132","2,014","34,263,926.00"
4654,STANDARD,MACHIAS,ME,PRIMARY,44.7,-67.47,NA-US-ME-MACHIAS,Northeast,"1,418","2,410","37,285,819.00"
4454,PO BOX,LAMBERT LAKE,ME,PRIMARY,45.54,-67.52,NA-US-ME-LAMBERT LAKE,Northeast,,,
4648,STANDARD,JONESBORO,ME,PRIMARY,44.66,-67.57,NA-US-ME-JONESBORO,Northeast,281,499,"6,626,537.00"
4668,STANDARD,PRINCETON,ME,PRIMARY,45.22,-67.57,NA-US-ME-PRINCETON,Northeast,630,"1,151","15,611,532.00"
4611,PO BOX,BEALS,ME,PRIMARY,44.48,-67.58,NA-US-ME-BEALS,Northeast,,,
4649,STANDARD,JONESPORT,ME,PRIMARY,44.53,-67.59,NA-US-ME-JONESPORT,Northeast,557,"1,012","8,913,539.00"
4686,STANDARD,WESLEY,ME,PRIMARY,44.95,-67.66,NA-US-ME-WESLEY,Northeast,,,
4492,STANDARD,WAITE,ME,PRIMARY,45.32,-67.69,NA-US-ME-WAITE,Northeast,,,
4623,STANDARD,COLUMBIA FALLS,ME,PRIMARY,44.65,-67.72,NA-US-ME-COLUMBIA FALLS,Northeast,450,788,"10,859,917.00"
4490,STANDARD,TOPSFIELD,ME,PRIMARY,45.41,-67.73,NA-US-ME-TOPSFIELD,Northeast,,,
4413,STANDARD,BROOKTON,ME,PRIMARY,45.52,-67.76,NA-US-ME-BROOKTON,Northeast,,,
4637,PO BOX,GRAND LAKE STREAM,ME,PRIMARY,45.17,-67.77,NA-US-ME-GRAND LAKE STREAM,Northeast,,,
4643,STANDARD,HARRINGTON,ME,PRIMARY,44.61,-67.81,NA-US-ME-HARRINGTON,Northeast,463,839,"8,290,549.00"
4750,STANDARD,LIMESTONE,ME,PRIMARY,46.91,-67.83,NA-US-ME-LIMESTONE,Northeast,967,"1,634","24,282,729.00"
4742,STANDARD,FORT FAIRFIELD,ME,PRIMARY,46.76,-67.83,NA-US-ME-FORT FAIRFIELD,Northeast,"1,557","2,739","43,943,995.00"
4730,STANDARD,HOULTON,ME,PRIMARY,46.11,-67.83,NA-US-ME-HOULTON,Northeast,"4,327","7,648","123,366,217.00"
4751,UNIQUE,LIMESTONE,ME,PRIMARY,46.91,-67.83,NA-US-ME-LIMESTONE,Northeast,,,
4735,STANDARD,BRIDGEWATER,ME,PRIMARY,46.42,-67.84,NA-US-ME-BRIDGEWATER,Northeast,259,463,"4,632,537.00"
4760,STANDARD,MONTICELLO,ME,PRIMARY,46.3,-67.84,NA-US-ME-MONTICELLO,Northeast,344,624,"8,800,022.00"
4471,STANDARD,ORIENT,ME,PRIMARY,45.81,-67.84,NA-US-ME-ORIENT,Northeast,,,
4424,STANDARD,DANFORTH,ME,PRIMARY,45.66,-67.86,NA-US-ME-DANFORTH,Northeast,328,584,"6,897,326.00"
4734,PO BOX,BLAINE,ME,PRIMARY,46.5,-67.86,NA-US-ME-BLAINE,Northeast,296,553,"7,121,251.00"
4758,STANDARD,MARS HILL,ME,PRIMARY,46.51,-67.86,NA-US-ME-MARS HILL,Northeast,722,"1,323","19,830,654.00"
4658,STANDARD,MILBRIDGE,ME,PRIMARY,44.52,-67.88,NA-US-ME-MILBRIDGE,Northeast,644,"1,100","11,865,095.00"
4740,STANDARD,EASTON,ME,PRIMARY,46.64,-67.91,NA-US-ME-EASTON,Northeast,582,"1,028","18,479,407.00"
4622,STANDARD,CHERRYFIELD,ME,PRIMARY,44.6,-67.92,NA-US-ME-CHERRYFIELD,Northeast,567,956,"12,582,447.00"
4787,STANDARD,WESTFIELD,ME,PRIMARY,46.57,-67.92,NA-US-ME-WESTFIELD,Northeast,,,
4785,STANDARD,VAN BUREN,ME,PRIMARY,47.16,-67.95,NA-US-ME-VAN BUREN,Northeast,"1,031","1,796","23,896,413.00"
4761,PO BOX,NEW LIMERICK,ME,PRIMARY,46.1,-67.96,NA-US-ME-NEW LIMERICK,Northeast,267,457,"6,695,992.00"
4680,STANDARD,STEUBEN,ME,PRIMARY,44.51,-67.96,NA-US-ME-STEUBEN,Northeast,490,857,"7,679,384.00"
4769,STANDARD,PRESQUE ISLE,ME,PRIMARY,46.68,-67.98,NA-US-ME-PRESQUE ISLE,Northeast,"4,645","7,779","140,950,065.00"
4736,STANDARD,CARIBOU,ME,PRIMARY,46.86,-67.99,NA-US-ME-CARIBOU,Northeast,"4,498","7,868","135,591,987.00"
4624,STANDARD,COREA,ME,PRIMARY,44.41,-67.99,NA-US-ME-COREA,Northeast,,,
4607,STANDARD,GOULDSBORO,ME,PRIMARY,44.47,-68.03,NA-US-ME-GOULDSBORO,Northeast,542,964,"12,270,111.00"
4669,STANDARD,PROSPECT HARBOR,ME,PRIMARY,44.42,-68.03,NA-US-ME-PROSPECT HARBOR,Northeast,,,
4613,STANDARD,BIRCH HARBOR,ME,PRIMARY,44.38,-68.04,NA-US-ME-BIRCH HARBOR,Northeast,,,
4497,STANDARD,WYTOPITLOCK,ME,PRIMARY,45.64,-68.07,NA-US-ME-WYTOPITLOCK,Northeast,,,
4693,STANDARD,WINTER HARBOR,ME,PRIMARY,44.39,-68.08,NA-US-ME-WINTER HARBOR,Northeast,263,415,"5,123,413.00"
4738,PO BOX,CROUSEVILLE,ME,PRIMARY,46.76,-68.08,NA-US-ME-CROUSEVILLE,Northeast,,,
4762,STANDARD,NEW SWEDEN,ME,PRIMARY,46.94,-68.12,NA-US-ME-NEW SWEDEN,Northeast,260,480,"8,322,028.00"
4487,STANDARD,SPRINGFIELD,ME,PRIMARY,45.39,-68.13,NA-US-ME-SPRINGFIELD,Northeast,350,628,"7,111,599.00"
4783,STANDARD,STOCKHOLM,ME,PRIMARY,47.04,-68.14,NA-US-ME-STOCKHOLM,Northeast,,,
4763,STANDARD,OAKFIELD,ME,PRIMARY,46.09,-68.15,NA-US-ME-OAKFIELD,Northeast,356,639,"8,336,446.00"
4664,STANDARD,SULLIVAN,ME,PRIMARY,44.53,-68.15,NA-US-ME-SULLIVAN,Northeast,567,965,"13,248,300.00"
4786,STANDARD,WASHBURN,ME,PRIMARY,46.79,-68.15,NA-US-ME-WASHBURN,Northeast,745,"1,370","21,837,641.00"
4746,STANDARD,GRAND ISLE,ME,PRIMARY,47.3,-68.15,NA-US-ME-GRAND ISLE,Northeast,,,
4780,STANDARD,SMYRNA MILLS,ME,PRIMARY,46.12,-68.16,NA-US-ME-SMYRNA MILLS,Northeast,302,573,"6,894,049.00"
4757,STANDARD,MAPLETON,ME,PRIMARY,46.68,-68.16,NA-US-ME-MAPLETON,Northeast,"1,222","2,246","40,729,631.00"
4677,STANDARD,SORRENTO,ME,PRIMARY,44.49,-68.18,NA-US-ME-SORRENTO,Northeast,,,
4766,STANDARD,PERHAM,ME,PRIMARY,46.84,-68.19,NA-US-ME-PERHAM,Northeast,,,
4451,STANDARD,KINGMAN,ME,PRIMARY,45.54,-68.2,NA-US-ME-KINGMAN,Northeast,,,
4609,STANDARD,BAR HARBOR,ME,PRIMARY,44.38,-68.21,NA-US-ME-BAR HARBOR,Northeast,"2,415","3,867","78,456,708.00"
4773,STANDARD,SAINT DAVID,ME,PRIMARY,47.31,-68.22,NA-US-ME-SAINT DAVID,Northeast,328,581,"8,533,570.00"
4634,STANDARD,FRANKLIN,ME,PRIMARY,44.58,-68.23,NA-US-ME-FRANKLIN,Northeast,842,"1,427","22,553,966.00"
4675,PO BOX,SEAL HARBOR,ME,PRIMARY,44.29,-68.24,NA-US-ME-SEAL HARBOR,Northeast,,,
4640,STANDARD,HANCOCK,ME,PRIMARY,44.52,-68.25,NA-US-ME-HANCOCK,Northeast,"1,106","1,902","31,489,030.00"
4625,PO BOX,CRANBERRY ISLES,ME,PRIMARY,44.24,-68.26,NA-US-ME-CRANBERRY ISLES,Northeast,,,
4747,STANDARD,ISLAND FALLS,ME,PRIMARY,46,-68.27,NA-US-ME-ISLAND FALLS,Northeast,515,934,"12,963,513.00"
4644,PO BOX,HULLS COVE,ME,PRIMARY,44.42,-68.27,NA-US-ME-HULLS COVE,Northeast,,,
4646,PO BOX,ISLESFORD,ME,PRIMARY,44.3,-68.27,NA-US-ME-ISLESFORD,Northeast,,,
4455,STANDARD,LEE,ME,PRIMARY,45.36,-68.28,NA-US-ME-LEE,Northeast,375,704,"10,667,111.00"
4779,STANDARD,SINCLAIR,ME,PRIMARY,47.16,-68.3,NA-US-ME-SINCLAIR,Northeast,,,
4776,STANDARD,SHERMAN,ME,PRIMARY,45.81,-68.31,NA-US-ME-SHERMAN,Northeast,404,719,"8,656,655.00"
4772,STANDARD,SAINT AGATHA,ME,PRIMARY,47.24,-68.31,NA-US-ME-SAINT AGATHA,Northeast,366,639,"9,966,612.00"
4672,PO BOX,SALSBURY COVE,ME,PRIMARY,44.43,-68.32,NA-US-ME-SALSBURY COVE,Northeast,,,
4408,STANDARD,AURORA,ME,PRIMARY,44.85,-68.32,NA-US-ME-AURORA,Northeast,,,
4679,STANDARD,SOUTHWEST HARBOR,ME,PRIMARY,44.27,-68.33,NA-US-ME-SOUTHWEST HARBOR,Northeast,"1,058","1,735","29,839,234.00"
4756,STANDARD,MADAWASKA,ME,PRIMARY,47.34,-68.33,NA-US-ME-MADAWASKA,Northeast,"1,775","3,053","51,183,644.00"
4459,STANDARD,MATTAWAMKEAG,ME,PRIMARY,45.51,-68.35,NA-US-ME-MATTAWAMKEAG,Northeast,318,553,"7,638,818.00"
4612,STANDARD,BERNARD,ME,PRIMARY,44.24,-68.35,NA-US-ME-BERNARD,Northeast,,,
4662,PO BOX,NORTHEAST HARBOR,ME,PRIMARY,44.3,-68.36,NA-US-ME-NORTHEAST HARBOR,Northeast,297,466,"9,121,621.00"
4660,STANDARD,MOUNT DESERT,ME,PRIMARY,44.31,-68.36,NA-US-ME-MOUNT DESERT,Northeast,801,"1,327","27,313,528.00"
4635,PO BOX,FRENCHBORO,ME,PRIMARY,44.11,-68.36,NA-US-ME-FRENCHBORO,Northeast,,,
4495,STANDARD,WINN,ME,PRIMARY,45.48,-68.37,NA-US-ME-WINN,Northeast,,,
4745,STANDARD,FRENCHVILLE,ME,PRIMARY,47.28,-68.38,NA-US-ME-FRENCHVILLE,Northeast,484,882,"15,529,969.00"
4732,STANDARD,ASHLAND,ME,PRIMARY,46.63,-68.4,NA-US-ME-ASHLAND,Northeast,789,"1,375","21,465,911.00"
4775,PO BOX,SHERIDAN,ME,PRIMARY,46.66,-68.41,NA-US-ME-SHERIDAN,Northeast,,,
4733,STANDARD,BENEDICTA,ME,PRIMARY,45.8,-68.41,NA-US-ME-BENEDICTA,Northeast,,,
4674,STANDARD,SEAL COVE,ME,PRIMARY,44.3,-68.41,NA-US-ME-SEAL COVE,Northeast,,,
4417,STANDARD,BURLINGTON,ME,PRIMARY,45.2,-68.42,NA-US-ME-BURLINGTON,Northeast,,,
4653,STANDARD,BASS HARBOR,ME,PRIMARY,44.15,-68.43,NA-US-ME-BASS HARBOR,Northeast,288,473,"7,116,735.00"
4777,STANDARD,STACYVILLE,ME,PRIMARY,45.89,-68.43,NA-US-ME-STACYVILLE,Northeast,,,
4765,STANDARD,PATTEN,ME,PRIMARY,45.99,-68.44,NA-US-ME-PATTEN,Northeast,549,987,"12,205,150.00"
4685,STANDARD,SWANS ISLAND,ME,PRIMARY,44.14,-68.45,NA-US-ME-SWANS ISLAND,Northeast,,,
4768,STANDARD,PORTAGE,ME,PRIMARY,46.76,-68.47,NA-US-ME-PORTAGE,Northeast,,,
4605,STANDARD,ELLSWORTH,ME,PRIMARY,44.58,-68.49,NA-US-ME-ELLSWORTH,Northeast,"6,376","10,831","199,517,606.00"
4764,STANDARD,OXBOW,ME,PRIMARY,46.41,-68.49,NA-US-ME-OXBOW,Northeast,,,
4684,STANDARD,SURRY,ME,PRIMARY,44.49,-68.5,NA-US-ME-SURRY,Northeast,736,"1,252","21,803,755.00"
4457,STANDARD,LINCOLN,ME,PRIMARY,45.36,-68.5,NA-US-ME-LINCOLN,Northeast,"2,526","4,656","79,756,738.00"
4460,STANDARD,MEDWAY,ME,PRIMARY,45.6,-68.53,NA-US-ME-MEDWAY,Northeast,613,"1,135","17,583,995.00"
4629,PO BOX,EAST BLUE HILL,ME,PRIMARY,44.44,-68.54,NA-US-ME-EAST BLUE HILL,Northeast,,,
4616,STANDARD,BROOKLIN,ME,PRIMARY,44.26,-68.56,NA-US-ME-BROOKLIN,Northeast,433,717,"9,018,283.00"
4781,STANDARD,WALLAGRASS,ME,PRIMARY,47.15,-68.57,NA-US-ME-WALLAGRASS,Northeast,257,451,"6,867,283.00"
4430,STANDARD,EAST MILLINOCKET,ME,PRIMARY,45.62,-68.57,NA-US-ME-EAST MILLINOCKET,Northeast,771,"1,351","21,839,397.00"
4743,STANDARD,FORT KENT,ME,PRIMARY,47.26,-68.57,NA-US-ME-FORT KENT,Northeast,"2,055","3,621","60,544,316.00"
4493,STANDARD,WEST ENFIELD,ME,PRIMARY,45.26,-68.58,NA-US-ME-WEST ENFIELD,Northeast,775,"1,455","23,720,499.00"
4614,STANDARD,BLUE HILL,ME,PRIMARY,44.41,-68.58,NA-US-ME-BLUE HILL,Northeast,"1,435","2,393","42,313,337.00"
4744,PO BOX,FORT KENT MILLS,ME,PRIMARY,47.23,-68.58,NA-US-ME-FORT KENT MILLS,Northeast,,,
4739,STANDARD,EAGLE LAKE,ME,PRIMARY,47.04,-68.59,NA-US-ME-EAGLE LAKE,Northeast,439,737,"11,054,467.00"
4418,STANDARD,GREENBUSH,ME,PRIMARY,45.08,-68.59,NA-US-ME-GREENBUSH,Northeast,697,"1,257","20,240,405.00"
4676,STANDARD,SEDGWICK,ME,PRIMARY,44.3,-68.61,NA-US-ME-SEDGWICK,Northeast,481,833,"9,817,540.00"
4467,PO BOX,OLAMON,ME,PRIMARY,45.12,-68.61,NA-US-ME-OLAMON,Northeast,,,
4475,STANDARD,PASSADUMKEAG,ME,PRIMARY,45.18,-68.61,NA-US-ME-PASSADUMKEAG,Northeast,,,
4411,STANDARD,BRADLEY,ME,PRIMARY,44.92,-68.62,NA-US-ME-BRADLEY,Northeast,720,"1,240","21,945,876.00"
4645,PO BOX,ISLE AU HAUT,ME,PRIMARY,44.04,-68.62,NA-US-ME-ISLE AU HAUT,Northeast,,,
4461,STANDARD,MILFORD,ME,PRIMARY,44.94,-68.64,NA-US-ME-MILFORD,Northeast,"1,504","2,575","48,406,393.00"
4448,STANDARD,HOWLAND,ME,PRIMARY,45.25,-68.66,NA-US-ME-HOWLAND,Northeast,572,"1,044","16,398,930.00"
4431,PO BOX,EAST ORLAND,ME,PRIMARY,44.58,-68.66,NA-US-ME-EAST ORLAND,Northeast,,,
4681,STANDARD,STONINGTON,ME,PRIMARY,44.18,-68.67,NA-US-ME-STONINGTON,Northeast,602,992,"9,719,829.00"
4627,STANDARD,DEER ISLE,ME,PRIMARY,44.22,-68.67,NA-US-ME-DEER ISLE,Northeast,756,"1,267","13,571,599.00"
4429,STANDARD,HOLDEN,ME,PRIMARY,44.75,-68.67,NA-US-ME-HOLDEN,Northeast,"2,427","4,302","104,362,764.00"
4617,STANDARD,BROOKSVILLE,ME,PRIMARY,44.34,-68.68,NA-US-ME-BROOKSVILLE,Northeast,411,698,"8,886,610.00"
4473,STANDARD,ORONO,ME,PRIMARY,44.88,-68.68,NA-US-ME-ORONO,Northeast,"2,513","3,986","89,043,210.00"
4469,UNIQUE,ORONO,ME,PRIMARY,44.88,-68.68,NA-US-ME-ORONO,Northeast,,,
4428,STANDARD,EDDINGTON,ME,PRIMARY,44.82,-68.69,NA-US-ME-EDDINGTON,Northeast,"1,426","2,514","47,557,054.00"
4462,STANDARD,MILLINOCKET,ME,PRIMARY,45.65,-68.69,NA-US-ME-MILLINOCKET,Northeast,"2,251","3,895","62,088,210.00"
4673,STANDARD,SARGENTVILLE,ME,PRIMARY,44.32,-68.7,NA-US-ME-SARGENTVILLE,Northeast,,,
4683,STANDARD,SUNSET,ME,PRIMARY,44.22,-68.7,NA-US-ME-SUNSET,Northeast,,,
4476,STANDARD,PENOBSCOT,ME,PRIMARY,44.46,-68.71,NA-US-ME-PENOBSCOT,Northeast,566,979,"13,790,217.00"
4650,STANDARD,LITTLE DEER ISLE,ME,PRIMARY,44.28,-68.71,NA-US-ME-LITTLE DEER ISLE,Northeast,,,
4489,PO BOX,STILLWATER,ME,PRIMARY,45.01,-68.72,NA-US-ME-STILLWATER,Northeast,,,
4472,STANDARD,ORLAND,ME,PRIMARY,44.57,-68.73,NA-US-ME-ORLAND,Northeast,897,"1,530","24,771,154.00"
4468,STANDARD,OLD TOWN,ME,PRIMARY,44.95,-68.73,NA-US-ME-OLD TOWN,Northeast,"4,037","6,739","122,279,470.00"
4412,STANDARD,BREWER,ME,PRIMARY,44.77,-68.73,NA-US-ME-BREWER,Northeast,"4,849","8,103","168,858,912.00"
4402,PO BOX,BANGOR,ME,PRIMARY,44.83,-68.78,NA-US-ME-BANGOR,Northeast,940,"1,432","30,317,976.00"
4401,STANDARD,BANGOR,ME,PRIMARY,44.83,-68.78,NA-US-ME-BANGOR,Northeast,"19,545","32,132","690,255,994.00"
4416,STANDARD,BUCKSPORT,ME,PRIMARY,44.6,-68.79,NA-US-ME-BUCKSPORT,Northeast,"2,655","4,629","80,351,056.00"
4642,STANDARD,HARBORSIDE,ME,PRIMARY,44.33,-68.79,NA-US-ME-HARBORSIDE,Northeast,,,
4421,STANDARD,CASTINE,ME,PRIMARY,44.38,-68.8,NA-US-ME-CASTINE,Northeast,395,647,"11,549,176.00"
4420,UNIQUE,CASTINE,ME,PRIMARY,44.38,-68.8,NA-US-ME-CASTINE,Northeast,,,
4474,STANDARD,ORRINGTON,ME,PRIMARY,44.73,-68.82,NA-US-ME-ORRINGTON,Northeast,"1,815","3,305","70,033,981.00"
4863,STANDARD,VINALHAVEN,ME,PRIMARY,44.04,-68.83,NA-US-ME-VINALHAVEN,Northeast,597,"1,016","9,190,713.00"
4444,STANDARD,HAMPDEN,ME,PRIMARY,44.74,-68.83,NA-US-ME-HAMPDEN,Northeast,"4,272","7,780","200,547,557.00"
4453,STANDARD,LAGRANGE,ME,PRIMARY,45.16,-68.84,NA-US-ME-LAGRANGE,Northeast,286,542,"8,235,001.00"
4972,PO BOX,SANDY POINT,ME,PRIMARY,44.52,-68.84,NA-US-ME-SANDY POINT,Northeast,,,
4981,STANDARD,STOCKTON SPRINGS,ME,PRIMARY,44.48,-68.85,NA-US-ME-STOCKTON SPRINGS,Northeast,"1,045","1,822","32,219,919.00"
4496,STANDARD,WINTERPORT,ME,PRIMARY,44.65,-68.85,NA-US-ME-WINTERPORT,Northeast,"1,800","3,247","68,439,335.00"
4853,STANDARD,NORTH HAVEN,ME,PRIMARY,44.15,-68.86,NA-US-ME-NORTH HAVEN,Northeast,,,
4438,STANDARD,FRANKFORT,ME,PRIMARY,44.6,-68.87,NA-US-ME-FRANKFORT,Northeast,497,913,"13,617,671.00"
4449,STANDARD,HUDSON,ME,PRIMARY,45,-68.88,NA-US-ME-HUDSON,Northeast,676,"1,200","21,305,487.00"
4851,PO BOX,MATINICUS,ME,PRIMARY,43.86,-68.88,NA-US-ME-MATINICUS,Northeast,,,
4774,STANDARD,SAINT FRANCIS,ME,PRIMARY,47.17,-68.89,NA-US-ME-SAINT FRANCIS,Northeast,306,519,"6,921,601.00"
4848,STANDARD,ISLESBORO,ME,PRIMARY,44.3,-68.9,NA-US-ME-ISLESBORO,Northeast,314,514,"6,196,101.00"
4974,STANDARD,SEARSPORT,ME,PRIMARY,44.46,-68.91,NA-US-ME-SEARSPORT,Northeast,"1,295","2,180","35,289,237.00"
4410,STANDARD,BRADFORD,ME,PRIMARY,45.06,-68.93,NA-US-ME-BRADFORD,Northeast,509,932,"14,678,191.00"
4450,STANDARD,KENDUSKEAG,ME,PRIMARY,44.91,-68.93,NA-US-ME-KENDUSKEAG,Northeast,589,"1,042","19,287,058.00"
4456,STANDARD,LEVANT,ME,PRIMARY,44.86,-68.93,NA-US-ME-LEVANT,Northeast,"1,279","2,357","44,900,597.00"
4463,STANDARD,MILO,ME,PRIMARY,45.25,-68.98,NA-US-ME-MILO,Northeast,"1,146","2,019","27,029,236.00"
4849,STANDARD,LINCOLNVILLE,ME,PRIMARY,44.28,-69,NA-US-ME-LINCOLNVILLE,Northeast,"1,709","2,902","47,036,622.00"
4951,STANDARD,MONROE,ME,PRIMARY,44.61,-69.01,NA-US-ME-MONROE,Northeast,412,697,"10,641,413.00"
4427,STANDARD,CORINTH,ME,PRIMARY,44.98,-69.01,NA-US-ME-CORINTH,Northeast,"1,242","2,287","38,246,116.00"
4915,STANDARD,BELFAST,ME,PRIMARY,44.42,-69.02,NA-US-ME-BELFAST,Northeast,"4,195","6,997","111,547,103.00"
4414,STANDARD,BROWNVILLE,ME,PRIMARY,45.3,-69.03,NA-US-ME-BROWNVILLE,Northeast,485,875,"11,818,658.00"
4422,STANDARD,CHARLESTON,ME,PRIMARY,45.08,-69.04,NA-US-ME-CHARLESTON,Northeast,490,928,"15,345,590.00"
4854,STANDARD,OWLS HEAD,ME,PRIMARY,44.08,-69.05,NA-US-ME-OWLS HEAD,Northeast,786,"1,296","21,306,426.00"
4419,STANDARD,CARMEL,ME,PRIMARY,44.79,-69.05,NA-US-ME-CARMEL,Northeast,"1,269","2,343","43,979,594.00"
4415,PO BOX,BROWNVILLE JUNCTION,ME,PRIMARY,45.35,-69.05,NA-US-ME-BROWNVILLE JUNCTION,Northeast,,,
4843,STANDARD,CAMDEN,ME,PRIMARY,44.2,-69.06,NA-US-ME-CAMDEN,Northeast,"2,598","4,295","83,720,877.00"
4856,STANDARD,ROCKPORT,ME,PRIMARY,44.18,-69.07,NA-US-ME-ROCKPORT,Northeast,"1,671","2,928","61,535,348.00"
4850,PO BOX,LINCOLNVILLE CENTER,ME,PRIMARY,44.3,-69.07,NA-US-ME-LINCOLNVILLE CENTER,Northeast,,,
4846,PO BOX,GLEN COVE,ME,PRIMARY,44.11,-69.08,NA-US-ME-GLEN COVE,Northeast,,,
4481,PO BOX,SEBEC,ME,PRIMARY,45.27,-69.11,NA-US-ME-SEBEC,Northeast,267,475,"5,812,112.00"
4434,STANDARD,ETNA,ME,PRIMARY,44.82,-69.11,NA-US-ME-ETNA,Northeast,549,"1,001","16,422,568.00"
4858,STANDARD,SOUTH THOMASTON,ME,PRIMARY,44.05,-69.12,NA-US-ME-SOUTH THOMASTON,Northeast,713,"1,256","18,363,171.00"
4921,STANDARD,BROOKS,ME,PRIMARY,44.55,-69.12,NA-US-ME-BROOKS,Northeast,700,"1,240","18,603,557.00"
4841,STANDARD,ROCKLAND,ME,PRIMARY,44.12,-69.13,NA-US-ME-ROCKLAND,Northeast,"3,684","5,832","92,265,639.00"
4435,STANDARD,EXETER,ME,PRIMARY,44.97,-69.14,NA-US-ME-EXETER,Northeast,431,808,"13,260,416.00"
4488,STANDARD,STETSON,ME,PRIMARY,44.89,-69.14,NA-US-ME-STETSON,Northeast,519,944,"16,712,172.00"
4952,STANDARD,MORRILL,ME,PRIMARY,44.44,-69.14,NA-US-ME-MORRILL,Northeast,813,"1,473","23,572,826.00"
4847,STANDARD,HOPE,ME,PRIMARY,44.26,-69.15,NA-US-ME-HOPE,Northeast,700,"1,253","22,500,240.00"
4865,PO BOX,WEST ROCKPORT,ME,PRIMARY,44.19,-69.15,NA-US-ME-WEST ROCKPORT,Northeast,,,
4939,STANDARD,GARLAND,ME,PRIMARY,45.03,-69.16,NA-US-ME-GARLAND,Northeast,475,847,"11,337,371.00"
4932,STANDARD,DIXMONT,ME,PRIMARY,44.68,-69.16,NA-US-ME-DIXMONT,Northeast,556,994,"19,170,243.00"
4859,STANDARD,SPRUCE HEAD,ME,PRIMARY,44.01,-69.17,NA-US-ME-SPRUCE HEAD,Northeast,408,679,"9,557,944.00"
4741,PO BOX,ESTCOURT STATION,ME,PRIMARY,47.4,-69.17,NA-US-ME-ESTCOURT STATION,Northeast,,,
4861,STANDARD,THOMASTON,ME,PRIMARY,44.08,-69.18,NA-US-ME-THOMASTON,Northeast,"1,432","2,417","39,256,149.00"
4426,STANDARD,DOVER FOXCROFT,ME,PRIMARY,45.21,-69.18,NA-US-ME-DOVER FOXCROFT,Northeast,"2,043","3,592","62,059,698.00"
4973,STANDARD,SEARSMONT,ME,PRIMARY,44.36,-69.19,NA-US-ME-SEARSMONT,Northeast,646,"1,125","19,046,627.00"
4969,STANDARD,PLYMOUTH,ME,PRIMARY,44.76,-69.21,NA-US-ME-PLYMOUTH,Northeast,572,"1,021","17,249,330.00"
4933,PO BOX,EAST NEWPORT,ME,PRIMARY,44.81,-69.22,NA-US-ME-EAST NEWPORT,Northeast,,,
4860,STANDARD,TENANTS HARBOR,ME,PRIMARY,43.95,-69.23,NA-US-ME-TENANTS HARBOR,Northeast,812,"1,361","17,828,723.00"
4987,STANDARD,TROY,ME,PRIMARY,44.66,-69.24,NA-US-ME-TROY,Northeast,401,735,"11,170,557.00"
4563,STANDARD,CUSHING,ME,PRIMARY,44.01,-69.24,NA-US-ME-CUSHING,Northeast,646,"1,132","14,872,971.00"
4864,STANDARD,WARREN,ME,PRIMARY,44.12,-69.24,NA-US-ME-WARREN,Northeast,"1,861","3,229","53,996,000.00"
4855,PO BOX,PORT CLYDE,ME,PRIMARY,43.93,-69.25,NA-US-ME-PORT CLYDE,Northeast,,,
4928,STANDARD,CORINNA,ME,PRIMARY,44.92,-69.26,NA-US-ME-CORINNA,Northeast,910,"1,648","26,420,653.00"
4953,STANDARD,NEWPORT,ME,PRIMARY,44.83,-69.26,NA-US-ME-NEWPORT,Northeast,"1,441","2,465","41,784,346.00"
